ID,BAG,CNTXT,AreaFunction,level,pXRFno,X_Coord,Y_Coord,material,Ag,Al,As,Au,Ca,Cr,Cu,Fe,K,Mg,Mn,Ni,P,Pb,Sr,Ti,V,Zn,synthetic
7048,15_215,Songoy,unknown,2.0,781_11,667067.4618,9238576.796,pottery,13341.0,4607.075016979178,57.0,5938.460263097187,295817.14957418805,2179.335824040013,11017.0,837793.055051137,154757.08481645706,11039.471903111156,17525.614869117366,4900.0,29181.919199636053,1361.3876359167143,0.0,19947.944689800137,848.9300453012565,3291.0070893823395,True
1769,15_206,Songoy,foundary,4.0,Rm23_B184_L-2,667094.714,9238769.941,pottery,13.0,2604.0,538.5311373707325,1664.0,245984.34115764755,1521.4833322619788,8657.0,3343729.727229928,129196.99801469849,1.0,27721.0,45567.0,185.0,5055.0,0.0,114720.06723752538,4755.0,4161.067246998041,True
1797,10_145,Rm5,foundary,3.0,15_609_8,667092.2521,9238785.617,pottery,14171.100805762024,2408.0,635.1504843957782,1620.7785719825652,383924.0,1122.0,12551.0,579554.2232963872,119537.81435427014,992.0,10374.591379482528,10923.09202534752,254.0,51759.28389307379,0.0,10733.600515718092,1396.1183989159479,3932.2496950037494,True
2082,15_816,Rm5,foundary,0.0,Sgy-B_B64_A-3,667092.0849,9238788.392,pottery,14161.871523548587,926.8525591220941,47.0,1962.7128146761129,207112.0,664.0528327579009,11913.0,495612.2624036594,80715.47205178032,11081.227999568518,10079.954366505106,4984.0,3473.8308502847003,45921.14981818818,0.0,0.0,0.0,5421.50506756018,True
392,15_611,Songoy,pottery_production,4.0,323_2,667090.1787,9238790.254,pottery,14037.768886407495,2116.169636454624,9.0,458.4311326035139,56923.49149328549,307.0,3265.0,49236.16163953004,10359.80015938925,1281.701573567706,5016.42524051207,316.0,390.7744385440642,3619.7407854261473,0.0,8958.828085896695,747.6984760017347,3182.668085637331,True
6792,15_797,Rm5,foundary,2.0,176_3,667355.1032,9238787.426,pottery,12019.019166978082,2998.0,0.0,2017.9482031342632,201607.18412951997,2089.0,17007.0,2685044.239500162,56436.25358977241,1.0,49885.88225889614,5928.743105242778,2132.9529961211033,1261.1339901743825,0.0,70771.69461708821,1565.9680042107211,6373.979438661603,True
969,10_184,Rm2,pottery_production,3.0,15_625_3,667073.7919,9238772.331,pottery,10607.233880154618,9601.064724440304,2792.3857938412275,6594.0,601368.5394777165,4274.039511634084,14396.0,848555.1383862881,213926.0,1027.315156981952,27026.958288735274,14606.727093954352,4557.892506925216,7120.069293938115,0.0,78345.54670698651,1389.5405688477458,5039.918156023599,True
6827,15_609,Rm5,foundary,2.0,PlaGato3_B93_A-ext1,667243.1812,9238291.522,pottery,13662.036096013268,4664.514276996451,243.2664695168853,5944.449274295297,789316.4157422129,4992.386197180436,15476.0,3485793.4803951955,237940.70422670693,1.0,70137.0,46846.394827689925,382.0,1432.5638962680491,0.0,85302.22232401154,7790.0,3625.198698312232,True
2929,15_609,Rm6,public_activity,0.0,679_12,667094.4153,9238763.784,pottery,13511.971850242133,1679.779568392089,348.22704496477945,576.8169757516206,404698.0,1050.276996826134,4860.0,47898.27167299603,62205.14469613373,919.0,1004.0,5358.492496638231,116.0,42427.415571235775,0.0,0.0,0.0,0.0,True
2447,15_922,Rm5,public_activity,3.0,15_611_2,667073.8806,9238806.7,pottery,5.0,5996.929723245646,779.0,9316.685895854984,760247.5920231169,3732.8409636206234,3574.0,3598277.316603901,238076.45448071984,1.0,109204.76661674373,48507.0,1024.9145410834067,2936.9406076148252,0.0,123078.5626483,10024.147195960522,13147.940825685422,True
